Model,Accuracy,Precision_Pos,Recall_Pos,F1_Pos,Precision_Neg,Recall_Neg,F1_Neg,ROC_AUC,Train_Time_s
XGBoost,0.8964,0.9124,0.9694,0.94,0.7672,0.5205,0.6202,0.8884,2.0122
ExtraTrees,0.8954,0.9123,0.9682,0.9394,0.7607,0.5205,0.6181,0.8675,6.1599
MultinomialNB,0.8926,0.8967,0.9852,0.9389,0.8452,0.4152,0.5569,0.8956,0.0063
RandomForest,0.8916,0.9119,0.9637,0.9371,0.7355,0.5205,0.6096,0.8786,3.1204
SVM,0.884,0.9288,0.933,0.9309,0.6467,0.6316,0.6391,0.8784,0.0248
DecisionTree,0.8802,0.9266,0.9308,0.9287,0.6347,0.6199,0.6272,0.7881,0.2049
LogisticRegression,0.8783,0.9564,0.8956,0.925,0.5947,0.7895,0.6784,0.8866,2.4042
AdaBoost,0.8698,0.9,0.9501,0.9244,0.6393,0.4561,0.5324,0.841,2.6581
LogisticRegression_SMOTE,0.8394,0.9552,0.8479,0.8984,0.5037,0.7953,0.6168,0.8756,
SVM_SMOTE,0.8451,0.9294,0.882,0.9051,0.5185,0.655,0.5788,0.8535,
DistilBERT,0.9173003802281369,0.9381898454746137,0.9648127128263337,0.9513150531617236,,,,0.9129843147406921,
